key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,duration_seconds
17669,9086,8967,0,0,8285666,,,,,,2667.150888278
17669,8280,9406,0,2,2473986,,,,,,870.69698468
17669,9010,8850,0,2,11082268,,,,,,3537.638257497
17669,9935,7926,0,0,11531406,,,,,,3766.364224235
17669,8555,9160,0,0,8521270,,,,,,2663.101178734
17669,9517,8284,0,0,11668530,,,,,,3699.742631124
17669,8243,9667,0,0,14143184,,,,,,4649.179243611
17669,7273,10442,0,0,3275868,,,,,,1062.948834522
17669,8499,9190,0,0,4419886,,,,,,1450.515069926
17669,7730,9990,0,2,35116842,,,,,,11553.887265958
17669,9358,8661,0,0,5414944,,,,,,1723.444541194
17669,9029,8793,0,0,3313388,,,,,,1107.817956344
17669,9760,8274,0,0,6980372,,,,,,2271.225801889
17669,9221,8474,0,0,6284850,,,,,,2045.701681814
17669,8783,8952,0,2,6746860,,,,,,2174.075555486
17669,8197,9531,0,0,3152988,,,,,,1021.364378083
17669,8586,9420,0,0,10723380,,,,,,3384.10956827
17669,9596,8446,2,0,4773140,,,,,,1574.616749265
17669,9797,8147,0,0,5810436,,,,,,1908.64863521
17669,8658,9091,0,0,8151530,,,,,,2601.939685866
17669,8484,9458,0,0,15197670,,,,,,5011.933704858
17669,7395,10294,0,0,3786332,,,,,,1198.361311652
17669,9399,8292,0,0,6772224,,,,,,2175.273214425
17669,8368,9347,0,4,4693916,,,,,,1592.843413059
17669,8894,9126,2,0,4732936,,,,,,1588.531155813
17669,9901,7800,0,0,6023094,,,,,,2018.699160722
17669,9821,7897,0,0,5662616,,,,,,1767.534746603
17669,7174,10526,0,0,10396334,,,,,,3341.073853912
17669,9021,8909,2,0,10949818,,,,,,3433.560554966
17669,9147,8878,0,0,3394238,,,,,,1060.615099895
17669,9308,8663,0,0,4527036,,,,,,1488.097539361
17669,9438,8270,0,0,4680940,,,,,,1429.072827197
17669,8732,9016,0,0,2671002,,,,,,864.855305627
17669,9152,8566,2,0,3123300,,,,,,990.962681527
17669,9329,8353,0,0,2851734,,,,,,884.585511789
17669,7951,9753,0,0,4765578,,,,,,1506.665495558
17669,8355,9329,0,0,8482926,,,,,,2741.128402871
17669,8678,9298,0,0,3463782,,,,,,1180.3837014
